"","unique.cellid","CGP.cellid","CCLE.cellid","GSK.cellid","NCI60.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","NCI60.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Ben_Neel.tissueid","COSMIC.tissueid","unique.tissueid","CTRPv2.tissueid"
"1348","SKO007","","","SKO007","","","","","","","","",NA,"","","hematopoietic_and_lymphatic_system","","","","","","","","","","haematopoietic_and_lymphoid_tissue",NA
"1349","SNU-1","","","SNU1","","","SNU-1","","","","","","SNU1","","","stomach","","","Stomach","","","","","","stomach","stomach","stomach"
"1350","SNU-16","","","SNU16","","","SNU-16","","","","","","SNU16","","","stomach","","","Stomach","","","","","","stomach","stomach","stomach"
"1351","SNU-5","","","SNU5","","","SNU-5","","","","","","SNU5","","","stomach","","","Stomach","","","","","","stomach","stomach","stomach"
"1352","SU-DHL-16","","","SUDHL16","","","SU-DHL-16","","SU-DHL-16","","SU-DHL-16","",NA,"","","hematopoietic_and_lymphatic_system","","","Lymph Node","","haematopoietic_and_lymphoid_tissue","","","","","haematopoietic_and_lymphoid_tissue",NA
"1353","TANOUE","","","TANOUE","","","","","","","","",NA,"","","hematopoietic_and_lymphatic_system","","","","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1354","TE381T","","","TE381T","","","","","","","","",NA,"","","sarcoma","","","","","","","","","","sarcoma",NA
"1355","U20S","","","U20S","","","","","","","","",NA,"","","sarcoma","","","","","","","","","bone","bone",NA
"1356","WI38","","","WI38","","","","","","","","",NA,"","","lung","","","","","","","","","","lung",NA
"1357","WIDR","","","WIDR","","","WiDr","","","","","",NA,"","","colon","","","Colon","","","","","","large_intestine","large_intestine",NA
"1358","Y79","","","Y79","","","","","","","","",NA,"","","eye","","","","","","","","","eye","eye",NA
"1359","YPAC","","","YPAC","","","","","","","","",NA,"","","pancreas","","","","","","","","","","pancreas",NA
"1360","ME:MDA_N","","","","ME:MDA_N","","","","","","","",NA,"","","","ME","","","","","","","","","skin",NA
"1361","184A1","","","","","184A1","","","","","","184a1",NA,"","","","","breast","","","","","","breast","","breast",NA
"1362","184B5","","","","","184B5","","","","","","184b5",NA,"","","","","breast","","","","","","breast","","breast",NA
"1363","21NT","","","","","21NT","","","","","","",NA,"","","","","breast","","","","","","","","breast",NA
"1364","600MPE","","","","","600MPE","","","","","","600mpe",NA,"","","","","breast","","","","","","breast","breast","breast",NA
"1365","HCC2185","","","","","HCC2185","","","","","","hcc2185",NA,"","","","","breast","","","","","","breast","breast","breast",NA
"1366","HCC3153","","","","","HCC3153","","","","","","hcc3153",NA,"","","","","breast","","","","","","breast","breast","breast",NA
"1367","LY2","","","","","LY2","","","","","","ly2",NA,"","","","","breast","","","","","","breast","breast","breast",NA
"1368","MCF12A","","","","","MCF12A","","","","","","mcf12a",NA,"","","","","breast","","","","","","breast","","breast",NA
"1369","SUM 149PT","","","","","SUM149PT","SUM 149PT","","","","","sum149",NA,"","","","","breast","Breast","","","","","breast","","breast",NA
"1370","SUM 159PT","","","","","SUM159PT","SUM 159PT","","","","","sum159",NA,"","","","","breast","Breast","","","","","breast","","breast",NA
"1371","SUM185PE","","","","","SUM185PE","","","","","","sum185",NA,"","","","","breast","","","","","","breast","breast","breast",NA
"1372","SUM 229PE","","","","","SUM229PE","SUM 229PE","","","","","sum229",NA,"","","","","breast","Breast","","","","","breast","","breast",NA
"1373","SUM 52PE","","","","","SUM52PE","SUM 52PE","","","","","sum52",NA,"","","","","breast","Breast","","","","","breast","","breast",NA
"1374","T47D_KBluc","","","","","T47D_KBluc","","","","","","",NA,"","","","","breast","","","","","","","","breast",NA
"1375","ZR75B","","","","","ZR75B","","","","","","zr75b",NA,"","","","","breast","","","","","","breast","","breast",NA
"1376","21MT1","","","","","21MT1","","","","","","",NA,"","","","","breast","","","","","","","","breast",NA
"1377","MCF10F","","","","","MCF10F","","","","","","",NA,"","","","","breast","","","","","","","","breast",NA
"1378","SUM 1315M02","","","","","SUM1315MO2","SUM 1315M02","","","","","sum1315",NA,"","","","","breast","Breast","","","","","breast","","breast",NA
"1379","SUM225CWN","","","","","SUM225CWN","","","","","","sum225",NA,"","","","","breast","","","","","","breast","breast","breast",NA
"1380","HBL-100","","","","","HBL100","HBL-100","","","","","hbl100",NA,"","","","","breast","Breast","","","","","breast","breast","breast",NA
"1381","SUM44PE","","","","","SUM44PE","","","","","","sum44",NA,"","","","","breast","","","","","","breast","breast","breast",NA
"1382","21PT","","","","","21PT","","","","","","",NA,"","","","","breast","","","","","","","","breast",NA
"1383","S1","","","","","S1","","","","","","",NA,"","","","","breast","","","","","","","","breast",NA
"1384","SUM102PT","","","","","SUM102PT","","","","","","sum102",NA,"","","","","breast","","","","","","breast","breast","breast",NA
"1385","T4","","","","","T4","","","","","","",NA,"","","","","breast","","","","","","","","breast",NA
"1386","EFM-192B","","","","","EFM192B","EFM-192B","","","","","",NA,"","","","","breast","Breast","","","","","","","breast",NA
"1387","EFM-192C","","","","","EFM192C","EFM-192C","","","","","",NA,"","","","","breast","Breast","","","","","","","breast",NA
"1388","21MT2","","","","","21MT2","","","","","","",NA,"","","","","breast","","","","","","","","breast",NA
"1389","HCC1008","","","","","HCC1008","","","","","","hcc1008",NA,"","","","","breast","","","","","","breast","breast","breast",NA
"1390","HCC1143BL","","","","","HCC1143BL","","","","","","",NA,"","","","","breast","","","","","","","","breast",NA
"1391","HCC38BL","","","","","HCC38BL","","","","","","",NA,"","","","","breast","","","","","","","","breast",NA
"1392","PMC42","","","","","PMC42","","","","","","",NA,"","","","","breast","","","","","","","","breast",NA
"1393","HCC1011","","","","","","HCC1011","","","","","",NA,"","","","","","Kidney","","","","","","","kidney",NA
"1394","HCC1162","","","","","","HCC1162","","","","","",NA,"","","","","","Uterus","","","","","","","uterus",NA
"1395","HCC12","","","","","","HCC12","","","","","",NA,"","","","","","Kidney","","","","","","","kidney",NA
"1396","HCC1263","","","","","","HCC1263","","","","","",NA,"","","","","","Colon","","","","","","","colon",NA
"1397","HCC1319","","","","","","HCC1319","","","","","",NA,"","","","","","Kidney","","","","","","","kidney",NA
"1398","HCC1482","","","","","","HCC1482","","","","","",NA,"","","","","","Uterus","","","","","","","uterus",NA
"1399","HCC1493","","","","","","HCC1493","","","","","",NA,"","","","","","Breast","","","","","","","breast",NA
"1400","HCC1534","","","","","","HCC1534","","","","","",NA,"","","","","","Lung","","","","","","","lung",NA
"1401","HCC1576","","","","","","HCC1576","","","","","",NA,"","","","","","Adrenal","","","","","","","adrenal_gland",NA
"1402","HCC193","","","","","","HCC193","","","","","",NA,"","","","","","Lung","","","","","","lung","lung",NA
"1403","HCC2270","","","","","","HCC2270","","","","","",NA,"","","","","","Lung","","","","","","","lung",NA
"1404","HCC2302","","","","","","HCC2302","","","","","",NA,"","","","","","Lung","","","","","","","lung",NA
"1405","HCC2688","","","","","","HCC2688","","","","","hcc2688",NA,"","","","","","Breast","","","","","breast","","breast",NA
"1406","HCC2885","","","","","","HCC2885","","","","","",NA,"","","","","","Lung","","","","","","","lung",NA
"1407","HCC2911","","","","","","HCC2911","","","","","",NA,"","","","","","Breast","","","","","","","breast",NA
"1408","HEp-2","","","","","","HEp-2","","","","","",NA,"","","","","","Cervix","","","","","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"1409","HEY","","","","","","HEY","","Hey","","Hey","",NA,"","","","","","Ovary","","ovary","","","","ovary","ovary",NA
"1410","HM7","","","","","","HM7","","","","","",NA,"","","","","","Colon","","","","","","","colon",NA
"1411","HMY-1","","","","","","HMY-1","","","","","",NA,"","","","","","Skin","","","","","","","skin",NA
"1412","HNT-34","","","","","","HNT-34","","","","","",NA,"","","","","","Blood","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1413","Hs 38.T","","","","","","Hs 38.T","","","","","",NA,"","","","","","Ovary","","","","","","","ovary",NA
"1414","Hs 69ST","","","","","","Hs 69ST","","","","","",NA,"","","","","","Skin","","","","","","","skin",NA
"1415","IM-95m","","","","","","IM-95m","","","","","",NA,"","","","","","Stomach","","","","","","","stomach",NA
"1416","Jiyoye","","","","","","Jiyoye","","","","","",NA,"","","","","","Blood","","","","","","","haematopoietic_and_lymphoid_tissue",NA
"1417","JJ012","","","","","","JJ012","","","","","",NA,"","","","","","Cartilage","","","","","","","cartilage",NA
"1418","KARPAS-1106P","","","","","","KARPAS-1106P","","KARPAS-1106P","","","",NA,"","","","","","Lymph Node","","haematopoietic_and_lymphoid_tissue","","","","","haematopoietic_and_lymphoid_tissue",NA
"1419","LXFL529","","","","","","LXFL529","","","","","",NA,"","","","","","Lung","","","","","","lung","lung",NA
"1420","BICR 78","","","","","","BICR 78","","BICR78","","BICR78","",NA,"","","","","","Oral Cavity","","Head & Neck","","","","","oral_cavity",NA
"1421","BJAB","","","","","","BJAB","","","","","",NA,"","","","","","Lymph Node","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1422","105KC","","","","","","105KC","","","","","",NA,"","","","","","Cartilage","","","","","","","cartilage",NA
"1423","501A","","","","","","501A","","","","","",NA,"","","","","","Skin","","","","","","","skin",NA
"1424","537 MEL","","","","","","537 MEL","","","","","",NA,"","","","","","Skin","","","","","","","skin",NA
"1425","624 mel","","","","","","624 mel","","","","","",NA,"","","","","","Skin","","","","","","","skin",NA
"1426","928 mel","","","","","","928 mel","","","","","",NA,"","","","","","Skin","","","","","","","skin",NA
"1427","ATRFLOX","","","","","","ATRFLOX","","","","","",NA,"","","","","","Colon","","","","","","","colon",NA
"1428","BICR 10","","","","","","BICR 10","","BICR10","","BICR10","",NA,"","","","","","Oral Cavity","","Head & Neck","","","","","oral_cavity",NA
"1429","C170","","","","","","C170","","","","","",NA,"","","","","","Colon","","","","","","","colon",NA
"1430","C32TG","","","","","","C32TG","","","","","",NA,"","","","","","Skin","","","","","","","skin",NA
"1431","CX-1","","","","","","CX-1","","","","","",NA,"","","","","","Colon","","","","","","large_intestine","large_intestine",NA
"1432","Farage","","","","","","Farage","","Farage","","Farage","",NA,"","","","","","Blood","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1433","G111","","","","","","G111","","","","","",NA,"","","","","","Brain","","","","","","","brain",NA
"1434","G112","","","","","","G112","","","","","",NA,"","","","","","Brain","","","","","","","brain",NA
"1435","G118","","","","","","G118","","","","","",NA,"","","","","","Brain","","","","","","","brain",NA
"1436","G120","","","","","","G120","","","","","",NA,"","","","","","Brain","","","","","","","brain",NA
"1437","G121","","","","","","G121","","","","","",NA,"","","","","","Brain","","","","","","","brain",NA
"1438","G122","","","","","","G122","","","","","",NA,"","","","","","Brain","","","","","","","brain",NA
"1439","G124","","","","","","G124","","","","","",NA,"","","","","","Brain","","","","","","","brain",NA
"1440","G130","","","","","","G130","","","","","",NA,"","","","","","Brain","","","","","","","brain",NA
"1441","G140","","","","","","G140","","","","","",NA,"","","","","","Brain","","","","","","","brain",NA
"1442","G141","","","","","","G141","","","","","",NA,"","","","","","Brain","","","","","","","brain",NA
"1443","G142","","","","","","G142","","","","","",NA,"","","","","","Brain","","","","","","","brain",NA
"1444","G22","","","","","","G22","","","","","",NA,"","","","","","Brain","","","","","","","brain",NA
"1445","G28T","","","","","","G28T","","","","","",NA,"","","","","","Brain","","","","","","","brain",NA
"1446","G44","","","","","","G44","","","","","",NA,"","","","","","Brain","","","","","","","brain",NA
"1447","G59","","","","","","G59","","","","","",NA,"","","","","","Brain","","","","","","","brain",NA
"1448","G61","","","","","","G61","","","","","",NA,"","","","","","Brain","","","","","","","brain",NA
"1449","HCC4011","","","","","","HCC4011","","","","","",NA,"","","","","","Lung","","","","","","","lung",NA
"1450","HCC4017","","","","","","HCC4017","","","","","",NA,"","","","","","Lung","","","","","","","lung",NA
"1451","HCC461","","","","","","HCC461","","","","","",NA,"","","","","","Lung","","","","","","lung","lung",NA
"1452","HCC515","","","","","","HCC515","","","","","",NA,"","","","","","Lung","","","","","","lung","lung",NA
"1453","HCC60","","","","","","HCC60","","","","","",NA,"","","","","","Ovary","","","","","","ovary","ovary",NA
"1454","HCC630","","","","","","HCC630","","","","","",NA,"","","","","","Ovary","","","","","","","ovary",NA
"1455","HCC89","","","","","","HCC89","","","","","",NA,"","","","","","Kidney","","","","","","","kidney",NA
"1456","KMS-28PE","","","","","","KMS-28PE","","","","","",NA,"","","","","","Blood","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1457","KPL-4","","","","","","KPL-4","","","","","",NA,"","","","","","Breast","","","","","","","breast",NA
"1458","LNCAP","","","","","","LNCAP","","","","","",NA,"","","","","","Prostate","","","","","","prostate","prostate",NA
"1459","MOR","","","","","","MOR","","","","","",NA,"","","","","","Lung","","","","","","","lung",NA
"1460","MS751","","","","","","MS751","","MS751","","MS751","",NA,"","","","","","Cervix","","Cervix","","","","cervix","cervix",NA
"1461","OCI-LY-7","","","","","","OCI-LY-7","","OCI-LY7","","OCI-LY7","",NA,"","","","","","Lymph Node","","haematopoietic_and_lymphoid_tissue","","","","","haematopoietic_and_lymphoid_tissue",NA
"1462","OCI-M2","","","","","","OCI-M2","","","","","",NA,"","","","","","Blood","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1463","Okajima","","","","","","Okajima","","","","","",NA,"","","","","","Stomach","","","","","","","stomach",NA
"1464","OVCA 420","","","","","","OVCA 420","","OVCA420","","OVCA420","",NA,"","","","","","Ovary","","Ovary","","","","","ovary",NA
"1465","OvCA 429","","","","","","OvCA 429","","","","","",NA,"","","","","","Ovary","","","","","","","ovary",NA
"1466","OvCA 432","","","","","","OvCA 432","","","","","",NA,"","","","","","Ovary","","","","","","","ovary",NA
"1467","OVCAR433","","","","","","OVCAR433","","","","","",NA,"","","","","","Ovary","","","","","","","ovary",NA
"1468","PE01","","","","","","PE01","","PEO1","","PEO1","",NA,"","","","","","Ovary","","ovary","","","","ovary","ovary",NA
"1469","PK-45P","","","","","","PK-45P","","","","","",NA,"","","","","","Pancreas","","","","","","pancreas","pancreas",NA
"1470","RERF-LC-OK","","","","","","RERF-LC-OK","","","","","",NA,"","","","","","Lung","","","","","","lung","lung",NA
"1471","Caco-2","","","","","","Caco-2","","","","","",NA,"","","","","","Colon","","","","","","large_intestine","large_intestine",NA
"1472","CCRF-SB","","","","","","CCRF-SB","","","","","",NA,"","","","","","Blood","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1473","COLO 206F","","","","","","COLO 206F","","","","","",NA,"","","","","","Colon","","","","","","","colon",NA
"1474","COLO 794","","","","","","COLO 794","","","","","",NA,"","","","","","Skin","","","","","","","skin",NA
"1475","COLO 853","","","","","","COLO 853","","","","","",NA,"","","","","","Skin","","","","","","","skin",NA
"1476","COLO 857","","","","","","COLO 857","","","","","",NA,"","","","","","Skin","","","","","","","skin",NA
"1477","COR-L26","","","","","","COR-L26","","","","","",NA,"","","","","","Lung","","","","","","","lung",NA
"1478","COV413A","","","","","","COV413A","","","","","",NA,"","","","","","Ovary","","","","","","","ovary",NA
"1479","COV413B","","","","","","COV413B","","","","","",NA,"","","","","","Ovary","","","","","","","ovary",NA
"1480","DEOC-1","","","","","","DEOC-1","","","","","",NA,"","","","","","Skin","","","","","","skin","skin",NA
"1481","DOR 13","","","","","","DOR 13","","","","","",NA,"","","","","","Ovary","","","","","","","ovary",NA
"1482","G84","","","","","","G84","","","","","",NA,"","","","","","Brain","","","","","","","brain",NA
"1483","G96","","","","","","G96","","","","","",NA,"","","","","","Brain","","","","","","","brain",NA
"1484","GTL-16","","","","","","GTL-16","","","","","",NA,"","","","","","Stomach","","","","","","stomach","stomach",NA
"1485","NCI-H1882","","","","","","NCI-H1882","","","","","",NA,"","","","","","Lung","","","","","","lung","lung",NA
"1486","NCI-H2135","","","","","","NCI-H2135","","NCI-H2135","","NCI-H2135","",NA,"","","","","","Lung","","Lung:NSCLC","","","","","lung",NA
"1487","NCI-H2198","","","","","","NCI-H2198","","","","","",NA,"","","","","","Lung","","","","","","lung","lung",NA
"1488","NCI-H2369","","","","","","NCI-H2369","","","","","",NA,"","","","","","Lung","","","","","","","lung",NA
"1489","NCI-H2373","","","","","","NCI-H2373","","","","","",NA,"","","","","","Lung","","","","","","pleura","pleura",NA
"1490","NCI-H2461","","","","","","NCI-H2461","","","","","",NA,"","","","","","Lung","","","","","","pleura","pleura",NA
"1491","NCI-H2595","","","","","","NCI-H2595","","","","","",NA,"","","","","","Lung","","","","","","pleura","pleura",NA
"1492","NCI-H2596","","","","","","NCI-H2596","","","","","",NA,"","","","","","Lung","","","","","","pleura","pleura",NA
"1493","SK23","","","","","","SK23","","","","","",NA,"","","","","","Skin","","","","","","","skin",NA
"1494","MCF10DCIS.com","","","","","","MCF10DCIS.com","","","","","",NA,"","","","","","Breast","","","","","","","breast",NA
"1495","MDA-MB-330","","","","","","MDA-MB-330","","MDA-MB-330","","MDA-MB-330","mdamb330",NA,"","","","","","Breast","","Breast","","","breast","breast","breast",NA
"1496","NCI-H2722","","","","","","NCI-H2722","","","","","",NA,"","","","","","Lung","","","","","","","lung",NA
"1497","NCI-H2795","","","","","","NCI-H2795","","","","","",NA,"","","","","","Lung","","","","","","","lung",NA
"1498","NCI-H2803","","","","","","NCI-H2803","","","","","",NA,"","","","","","Lung","","","","","","","lung",NA
"1499","NCI-H2804","","","","","","NCI-H2804","","","","","",NA,"","","","","","Lung","","","","","","","lung",NA
"1500","NCI-H2810","","","","","","NCI-H2810","","","","","",NA,"","","","","","Lung","","","","","","","lung",NA
"1501","NCI-H322T","","","","","","NCI-H322T","","","","","",NA,"","","","","","Lung","","","","","","","lung",NA
"1502","NCI-H820","","","","","","NCI-H820","","","","NCI-H820","",NA,"","","","","","Lung","","","","","","lung","lung",NA
"1503","NCI-H847","","","","","","NCI-H847","","NCI-H847","","NCI-H847","",NA,"","","","","","Lung","","Lung","","","","lung","lung",NA
"1504","NCI-H920","","","","","","NCI-H920","","","","","",NA,"","","","","","Lung","","","","","","lung","lung",NA
"1505","NIH:OVCAR-3","","","","","","NIH:OVCAR-3","","","","","",NA,"","","","","","Ovary","","","","","","","ovary",NA
"1506","NTERA-2","","","","","","NTERA-2","","","","","",NA,"","","","","","Testis","","","","","","","testis",NA
"1507","PK-8","","","","","","PK-8","","","","","",NA,"","","","","","Pancreas","","","","","","pancreas","pancreas",NA
"1508","RAMOS","","","","","","RAMOS","","","","","",NA,"","","","","","Blood","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1509","RC-K8","","","","","","RC-K8","","RC-K8","","RC-K8","",NA,"","","","","","Blood","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1510","SNU-484","","","","","","SNU-484","","","","","",NA,"","","","","","Stomach","","","","","","stomach","stomach",NA
"1511","SNU-638","","","","","","SNU-638","","","","","",NA,"","","","","","Stomach","","","","","","stomach","stomach",NA
"1512","SR-786","","","","","","SR-786","","","","","","SR786","","","","","","Blood","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"1513","WSU-FSCCL","","","","","","WSU-FSCCL","","","","","",NA,"","","","","","Lymph Node","","","","","","","haematopoietic_and_lymphoid_tissue",NA
"1514","YMB-1-E","","","","","","YMB-1-E","","","","YMB-1-E","",NA,"","","","","","Breast","","","","","","","breast",NA
"1515","SW 527","","","","","","SW 527","","","","","sw527",NA,"","","","","","Breast","","","","","breast","","breast",NA
"1516","U266B1","","","","","","U266B1","","","","","","U266B1","","","","","","Blood","","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"1517","UCSD-242l","","","","","","UCSD-242l","","","","","",NA,"","","","","","Skin","","","","","","","skin",NA
"1518","UKE-1","","","","","","UKE-1","","","","","",NA,"","","","","","Blood","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1519","H322T","","","","","","H322T","","","","","",NA,"","","","","","Lung","","","","","","lung","lung",NA
"1520","HCA-7","","","","","","HCA-7","","","","","",NA,"","","","","","Colon","","","","","","large_intestine","large_intestine",NA
"1521","SC-1","","","","","","SC-1","","Sci-1","","","",NA,"","","","","","Lymph Node","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1522","SCLC-22H","","","","","","SCLC-22H","","","","","",NA,"","","","","","Lung","","","","","","","lung",NA
"1523","SJCRH30","","","","","","SJCRH30","","","","","",NA,"","","","","","Skeletal Muscle","","","","","","","skeletal_muscle",NA
"1524","TK","","","","","","TK","","TK","","TK","",NA,"","","","","","Blood","","haematopoietic_and_lymphoid_tissue","","","","","haematopoietic_and_lymphoid_tissue",NA
"1525","TMD8","","","","","","TMD8","","","","","",NA,"","","","","","Blood","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1526","TYK-nu.CP-r","","","","","","TYK-nu.CP-r","","","","","",NA,"","","","","","Ovary","","","","","","","ovary",NA
"1527","U-2932","","","","","","U-2932","","","","","",NA,"","","","","","Blood","","","","","","","haematopoietic_and_lymphoid_tissue",NA
"1528","201T","","","","","","","","201T","","201T","",NA,"","","","","","","","Lung:NSCLC","","","","lung","lung",NA
"1529","NB-TU-1-10","","","","","","","","NB-TU-1-10","","NB_TU_1-10","",NA,"","","","","","","","Kidney","","","","","kidney",NA
"1530","ASH-3","","","","","","","","ASH-3","","ASH-3","",NA,"","","","","","","","Thyroid","","","","thyroid","thyroid",NA
"1531","H2869","","","","","","","","H2869","","H2869","",NA,"","","","","","","","Lung","","","","pleura","pleura",NA
"1532","H290","","","","","","","","H290","","H290","",NA,"","","","","","","","Lung","","","","pleura","pleura",NA
"1533","WM1552C","","","","","","","","WM1552C","","WM1552C","",NA,"","","","","","","","Skin","","","","","skin",NA
"1534","PCI-6A","","","","","","","","PCI-6A","","PCI-6A","",NA,"","","","","","","","Head & Neck","","","","","head_and_neck",NA
"1535","COR-L321","","","","","","","","COR-L321","","COR-L321","",NA,"","","","","","","","Lung","","","","","lung",NA
"1536","OACp4C","","","","","","","","OACp4C","","OACp4C","",NA,"","","","","","","","Esophagus","","","","","esophagus",NA
"1537","H2803","","","","","","","","H2803","","H2803","",NA,"","","","","","","","Lung","","","","pleura","pleura",NA
"1538","IOSE-75-16SV40","","","","","","","","IOSE-75-16SV40","","","",NA,"","","","","","","","Ovary","","","","","ovary",NA
"1539","H2722","","","","","","","","H2722","","H2722","",NA,"","","","","","","","Lung","","","","pleura","pleura",NA
"1540","UWB1.289","","","","","","","","UWB1.289","","UWB1.289","",NA,"","","","","","","","Ovary","","","","","ovary",NA
"1541","H2810","","","","","","","","H2810","","H2810","",NA,"","","","","","","","Lung","","","","","lung",NA
"1542","RCC-JW","","","","","","","","RCC-JW","","RCC-JW","",NA,"","","","","","","","Kidney","","","","kidney","kidney",NA
"1543","COR-L32","","","","","","","","COR-L32","","COR-L32","",NA,"","","","","","","","Lung","","","","","lung",NA
"1544","KON","","","","","","","","KON","","KON","",NA,"","","","","","","","Head & Neck","","","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"1545","NCI-H740","","","","","","","","NCI-H740","","NCI-H740","",NA,"","","","","","","","Lung","","","","lung","lung",NA
"1546","CS1","","","","","","","","CS1","","CS1","",NA,"","","","","","","","Bone","","","","","bone",NA
"1547","H2373","","","","","","","","H2373","","H2373","",NA,"","","","","","","","Lung","","","","","lung",NA
"1548","H2731","","","","","","","","H2731","","H2731","",NA,"","","","","","","","Lung","","","","","lung",NA
"1549","SLVL","","","","","","","","SLVL","","SLVL","",NA,"","","","","","","","Blood","","","","","haematopoietic_and_lymphoid_tissue",NA
"1550","IOSE-364-","","","","","","","","IOSE-364-","","","",NA,"","","","","","","","Ovary","","","","","ovary",NA
"1551","Hs-633T","","","","","","","","Hs-633T","","","",NA,"","","","","","","","Misc","","","","","misc",NA
"1552","SK-GT-2","","","","","","","","SK-GT-2","","SK-GT-2","",NA,"","","","","","","","Esophagus","","","","","esophagus",NA
"1553","451Lu","","","","","","","","451Lu","","451Lu","",NA,"","","","","","","","Skin","","","","skin","skin",NA
"1554","H2818","","","","","","","","H2818","","H2818","",NA,"","","","","","","","Lung","","","","pleura","pleura",NA
"1555","KARPAS-231","","","","","","","","KARPAS-231","","KARPAS-231","",NA,"","","","","","","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1556","BE2-M17","","","","","","","","BE2-M17","","BE2-M17","",NA,"","","","","","","","Brain","","","","autonomic_ganglia","autonomic_ganglia",NA
"1557","WM278","","","","","","","","WM278","","WM278","",NA,"","","","","","","","Skin","","","","skin","skin",NA
"1558","ROS-50","","","","","","","","ROS-50","","ROS-50","",NA,"","","","","","","","Blood","","","","","haematopoietic_and_lymphoid_tissue",NA
"1559","CHSA0011","","","","","","","","CHSA0011","","CHSA0011","",NA,"","","","","","","","Bone","","","","","bone",NA
"1560","PWR-1E","","","","","","","","PWR-1E","","PWR-1E","",NA,"","","","","","","","Prostate","","","","","prostate",NA
"1561","KYAE-1","","","","","","","","KYAE-1","","KYAE-1","",NA,"","","","","","","","Esophagus","","","","oesophagus","oesophagus",NA
"1562","OACM5-1","","","","","","","","OACM5-1","","OACM5-1","",NA,"","","","","","","","Esophagus","","","","","esophagus",NA
"1563","JSC-1","","","","","","","","JSC-1","","JSC-1","",NA,"","","","","","","","Blood","","","","","haematopoietic_and_lymphoid_tissue",NA
"1564","OSC-19","","","","","","","","OSC-19","","OSC-19","",NA,"","","","","","","","Head & Neck","","","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"1565","RCC-AB","","","","","","","","RCC-AB","","RCC-AB","",NA,"","","","","","","","Kidney","","","","kidney","kidney",NA
"1566","SCCH-196","","","","","","","","SCCH-196","","","",NA,"","","","","","","","Misc","","","","bone","bone",NA
"1567","NCI-H3122","","","","","","","","NCI-H3122","","NCI-H3122","",NA,"","","","","","","","Lung","","","","lung","lung",NA
"1568","CHSA8926","","","","","","","","CHSA8926","","CHSA8926","",NA,"","","","","","","","0","","","","","other",NA
"1569","PCI-4B","","","","","","","","PCI-4B","","PCI-4B","",NA,"","","","","","","","Head & Neck","","","","","head_and_neck",NA
"1570","NCC021","","","","","","","","NCC021","","NCC021","",NA,"","","","","","","","0","","","","","other",NA
"1571","IOSE-523-","","","","","","","","IOSE-523-","","","",NA,"","","","","","","","Ovary","","","","","ovary",NA
"1572","OVMIU","","","","","","","","OVMIU","","OVMIU","",NA,"","","","","","","","Ovary","","","","ovary","ovary",NA
"1573","SACC-83","","","","","","","","SACC-83","","","",NA,"","","","","","","","Head & Neck","","","","","head_and_neck",NA
"1574","RCC-FG2","","","","","","","","RCC-FG2","","RCC-FG2","",NA,"","","","","","","","Kidney","","","","kidney","kidney",NA
"1575","VAL","","","","","","","","VAL","","VAL","",NA,"","","","","","","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"1576","WM35","","","","","","","","WM35","","WM35","",NA,"","","","","","","","Skin","","","","skin","skin",NA
"1577","PL18","","","","","","","","PL18","","PL18","",NA,"","","","","","","","Pancreas","","","","","pancreas",NA
