"","unique.cellid","CGP.cellid","CCLE.cellid","GSK.cellid","NCI60.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","NCI60.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Ben_Neel.tissueid","COSMIC.tissueid","unique.tissueid","CTRPv2.tissueid"
"805","CADO-ES1","","CADO-ES1","","","","","","CADO-ES1","CADO-ES1","CADO-ES1","","CADOES1","","bone","","","","","","bone","bone","","","bone","bone","bone"
"806","Caki-2","","Caki-2","CAKI2","","","Caki-2","","","Caki-2","","","CAKI2","","kidney","kidney","","","Kidney","","","kidney","","","kidney","kidney","kidney"
"807","CAL-29","","CAL-29","","","","","","CAL-29","CAL-29","CAL-29","","CAL29","","urinary_tract","","","","","","Bladder","urinary_tract","","","urinary_tract","urinary_tract","urinary_tract"
"808","CAL-78","","CAL-78","","","","","","CAL-78","CAL-78","CAL-78","","CAL78","","bone","","","","","","Bone","soft_tissue","","","soft_tissue","soft_tissue","bone"
"809","CCK-81","","CCK-81","","","","","","CCK-81","CCK-81","CCK-81","","CCK81","","large_intestine","","","","","","Intestine","large_intestine","","","large_intestine","large_intestine","large_intestine"
"810","CH-157MN","","CH-157MN","","","","","","","","","",NA,"","central_nervous_system","","","","","","","","","","","central_nervous_system",NA
"811","CI-1","","CI-1","","","","CI-1","","","CI-1","","","CI1","","haematopoietic_and_lymphoid_tissue","","","","Lymph Node","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"812","CJM","","CJM","","","","","","","CJM","","","CJM","","skin","","","","","","","skin","","","skin","skin","skin"
"813","CL-11","","CL-11","","","","CL-11","","CL-11","CL-11","CL-11","","CL11","","large_intestine","","","","Colon","","Intestine","large_intestine","","","","large_intestine","large_intestine"
"814","CL-14","","CL-14","","","","","","","CL-14","","",NA,"","large_intestine","","","","","","","large_intestine","","","","large_intestine",NA
"815","CL-34","","CL-34","","","","CL-34","CL34","CL-34","CL-34","","","CL34","","large_intestine","","","","Colon","LARGE_INTESTINE","large_intestine","large_intestine","","","","large_intestine","large_intestine"
